Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Método de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Ventas,Cantidad,Descuento,Ganancia
3501,MX-2022-166443,8/21/2022,8/25/2022,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,MOB-SI-10004179,Mobiliario,Sillas,"Office Star Silla de playa, Negro",1060.2,3,0,63.6
4101,MX-2021-113201,9/14/2021,9/18/2021,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-SU-10003821,Material de oficina,Suministros,"Acme Regla, Azul",334.2,3,0,39.6
4102,MX-2021-113201,9/14/2021,9/18/2021,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-CA-10000917,Material de oficina,Carpetas,"Avery Separadores, Económico",126.6,3,0,7.2
4103,MX-2021-113201,9/14/2021,9/18/2021,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-AL-10003968,Material de oficina,Almacenamiento,"Rogers Bandejas, Tamaño completo",822.8,2,0,164.4
5321,MX-2021-117870,10/4/2021,10/9/2021,Estándar,TA-21175,Teodora Atencio,Empresa,Penedo,Alagoas,Brasil,Sur,MAT-CA-10002885,Material de oficina,Carpetas,"Cardinal Cubierta de carpeta, Económico",160,2,0,25.6
6481,MX-2023-148684,12/19/2023,12/25/2023,Estándar,AR-10525,Amalia Ríos,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-AL-10004135,Material de oficina,Almacenamiento,"Tenex Archivador móvil, Tamaño completo",2683.2,3,0,885
6482,MX-2023-148684,12/19/2023,12/25/2023,Estándar,AR-10525,Amalia Ríos,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-SO-10001206,Material de oficina,Sobres,"Cameo Sobre empresarial, Reciclado",105,1,0,50.4
8062,MX-2023-113586,11/18/2023,11/18/2023,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-SO-10000209,Material de oficina,Sobres,"GlobeWeis Paquetes, 50",514,2,0,133.6
8063,MX-2023-113586,11/18/2023,11/18/2023,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-LI-10000384,Mobiliario,Librerías,"Dania Librería clásica, Blanco",5510.4,2,0,991.6
8064,MX-2023-113586,11/18/2023,11/18/2023,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-MO-10000586,Mobiliario,Mobiliario,"Eldon Tope para puertas, Negro",2006.4,6,0,621.6
8065,MX-2023-113586,11/18/2023,11/18/2023,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-ME-10001571,Mobiliario,Mesas,"Bevis Mesa de formación, Montada",3588.8,2,0.2,493.2
8066,MX-2023-113586,11/18/2023,11/18/2023,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,TEC-TE-10002678,Tecnología,Teléfonos,"Apple Base de audio, Tamaño completo",4484.8,4,0,492.8
8837,MX-2022-164938,4/18/2022,4/23/2022,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-AR-10000761,Material de oficina,Arte,"Boston Bolígrafos, Metal",412.8,4,0,156.8
8838,MX-2022-164938,4/18/2022,4/23/2022,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-PA-10001204,Material de oficina,Papel,"Green Bar Agenda, Multicolor",504,3,0,55.2
8839,MX-2022-164938,4/18/2022,4/23/2022,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SU-10003322,Material de oficina,Suministros,"Elite Tijeras, Rectangular",512.8,4,0,164
9477,MX-2022-160444,11/7/2022,11/12/2022,Estándar,VC-21490,Valeria Caldera,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SO-10002955,Material de oficina,Sobres,"Kraft Cierre adhesivo, Rojo",320.4,2,0,108.8
10026,US-2023-154564,7/4/2023,7/7/2023,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MOB-ME-10003347,Mobiliario,Mesas,"Chromcraft Mesa de café, Rectangular",2117.28,3,0.6,-529.32
10027,US-2023-154564,7/4/2023,7/7/2023,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MOB-LI-10000283,Mobiliario,Librerías,"Ikea Librería, Blanco",1334.4,4,0.6,-934.4
10028,US-2023-154564,7/4/2023,7/7/2023,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-GR-10001628,Material de oficina,Grapas,"Advantus Cintas de goma, Paquete de 12",170.88,4,0.6,-252.32
10029,US-2023-101623,12/9/2023,12/11/2023,Rápido,AV-10825,Amelia Vega,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10000055,Material de oficina,Suministros,"Fiskars Recortadora, Rectangular",312,3,0.6,-226.2
10055,US-2020-149041,6/1/2020,6/6/2020,Estándar,NP-19210,Natalia Paredes,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-PA-10004251,Material de oficina,Papel,"Eaton Papel de tipo pergamino, Premium",71.84,2,0.6,-50.56
10056,US-2020-149041,6/1/2020,6/6/2020,Estándar,NP-19210,Natalia Paredes,Empresa,Pilar,Alagoas,Brasil,Sur,TEC-CO-10000319,Tecnología,Copiadoras,"Hewlett Fotocopiadora con fax, Rojo",2534.862,5,0.602,-1160.138
10090,US-2022-139297,12/5/2022,12/10/2022,Estándar,BF-12040,Bibiana Ferro,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-GR-10000238,Material de oficina,Grapas,"Stockwell Pasadores, Tamaños variados",157.6,5,0.6,-185.4
10104,US-2023-162999,2/25/2023,3/2/2023,Estándar,TC-21085,Tina Cardona,Cliente,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-GR-10004152,Material de oficina,Grapas,"Stockwell Grapas, Al por mayor",138.8,5,0.6,-125.2
10118,US-2020-136007,1/4/2020,1/11/2020,Estándar,AH-11305,Ariadna Hernández,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-SO-10002386,Material de oficina,Sobres,"Jiffy Sobres de uso interno, 50",743.04,6,0.6,-1078.56
10139,US-2022-165939,10/20/2022,10/24/2022,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MOB-SI-10002611,Mobiliario,Sillas,"Harbour Creations Silla plegable, Rojo",783.12,3,0.6,-1076.88
10140,US-2022-165939,10/20/2022,10/24/2022,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-CA-10004233,Material de oficina,Carpetas,"Avery Separadores, Transparente",77.2,5,0.6,-44.8
10141,US-2022-165939,10/20/2022,10/24/2022,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MOB-SI-10000569,Mobiliario,Sillas,"Office Star Silla de playa, Ajustable",772.4,5,0.6,-367.6
10148,US-2023-126515,12/18/2023,12/20/2023,Rápido,FV-14740,Felipe Vélez,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-AR-10000946,Material de oficina,Arte,"Sanford Lienzos, Azul",673.6,5,0.6,-977.4
10149,US-2023-126515,12/18/2023,12/20/2023,Rápido,FV-14740,Felipe Vélez,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-SO-10002557,Material de oficina,Sobres,"Cameo Paquetes, 50",610.56,6,0.6,-565.44
10150,US-2021-129546,7/12/2021,7/12/2021,Mismo día,VC-21535,Victoria Chavarría,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AL-10001876,Material de oficina,Almacenamiento,"Tenex Bandejas, Industrial",1020.88,7,0.6,-537.32
10151,US-2021-129546,7/12/2021,7/12/2021,Mismo día,VC-21535,Victoria Chavarría,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AR-10003061,Material de oficina,Arte,"Binney & Smith Lienzos, Metal",841.92,6,0.6,-505.68
10167,US-2022-150574,6/25/2022,6/27/2022,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-LI-10002241,Mobiliario,Librerías,"Safco Librería, Metal",1979.2,5,0.6,-1830.8
10168,US-2022-150574,6/25/2022,6/27/2022,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-EL-10002343,Material de oficina,Electrodomésticos,"Cuisinart Microondas, Negro",4446.24,6,0.6,-4668.96
10169,US-2022-150574,6/25/2022,6/27/2022,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10003453,Tecnología,Accesorios,"Belkin Teclado, Blanco",1481.6,10,0.6,-1668.4
10170,US-2022-150574,6/25/2022,6/27/2022,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-LI-10002548,Mobiliario,Librerías,"Sauder Conjunto de estantes, Blanco",1576.8,3,0.6,-1458.6
10171,US-2022-150574,6/25/2022,6/27/2022,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AL-10003173,Material de oficina,Almacenamiento,"Smead Caja, Tamaño completo",57.6,2,0.6,-53.6
10187,US-2022-165785,11/16/2022,11/20/2022,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-ET-10000741,Material de oficina,Etiquetas,"Hon Etiquetas extraíbles, Blanco",82.08,3,0.6,-94.92
10188,US-2022-165785,11/16/2022,11/20/2022,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10004792,Material de oficina,Suministros,"Elite Regla, Acero",316.8,9,0.6,-302.4
10189,US-2022-165785,11/16/2022,11/20/2022,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-GR-10004275,Material de oficina,Grapas,"OIC Grapas, Tamaños variados",46.88,2,0.6,-19.12
10190,US-2022-165785,11/16/2022,11/20/2022,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SO-10002307,Material de oficina,Sobres,"Kraft Sobre de hebilla, Rojo",167.2,5,0.6,-213.8
10229,US-2020-162015,2/26/2020,3/3/2020,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-TE-10001916,Tecnología,Teléfonos,"Samsung Teléfono de oficina, Tamaño completo",709.44,4,0.6,-514.56
10230,US-2020-162015,2/26/2020,3/3/2020,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10000557,Tecnología,Accesorios,"Memorex Ratón, Blanco",207.84,3,0.6,-125.16
10231,US-2020-162015,2/26/2020,3/3/2020,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-SI-10004340,Mobiliario,Sillas,"Harbour Creations Taburete, Rojo",1440.96,3,0.6,-1116.84
10232,US-2020-162015,2/26/2020,3/3/2020,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10004950,Material de oficina,Suministros,"Acme Recortadora, Rectangular",220.16,2,0.6,-313.84
10235,US-2020-117702,8/17/2020,8/20/2020,Urgente,AR-10420,Azucena Rodríguez,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-TE-10003987,Tecnología,Teléfonos,"Nokia Base de audio, Tamaños variados",904.48,2,0.6,-384.72
10236,US-2020-117702,8/17/2020,8/20/2020,Urgente,AR-10420,Azucena Rodríguez,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10004316,Tecnología,Accesorios,"Belkin Teclado, Programable",632,4,0.6,-743.2
10243,US-2023-121293,9/26/2023,9/28/2023,Urgente,JA-16990,Julieta Almanza,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-AL-10002238,Material de oficina,Almacenamiento,"Rogers Archivador móvil, Tamaño completo",755.36,2,0.6,-717.84
10271,US-2021-114860,11/27/2021,12/1/2021,Estándar,ÁC-10915,Ángel Chávez,Cliente,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10002721,Material de oficina,Suministros,"Acme Cizallas, Industrial",549.76,4,0.6,-467.84
10286,US-2021-106523,2/11/2021,2/15/2021,Estándar,OG-19795,Olvido Godoy,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-SI-10001930,Mobiliario,Sillas,"Harbour Creations Silla de playa, Rojo",492.96,3,0.6,-407.04
1718,MX-2021-110751,12/25/2021,12/31/2021,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MAT-PA-10004917,Material de oficina,Papel,"Green Bar Material de oficina, Multicolor",2324,7,0,324.8
1719,MX-2021-110751,12/25/2021,12/31/2021,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MAT-AR-10004686,Material de oficina,Arte,"Binney & Smith Bolígrafos, Azul",159.2,2,0,9.2
1720,MX-2021-110751,12/25/2021,12/31/2021,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MOB-ME-10003239,Mobiliario,Mesas,"Bevis Mesa de café, Rectangular",5052,3,0.2,-505.2
5469,MX-2023-161641,11/25/2023,11/28/2023,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,TEC-TE-10004444,Tecnología,Teléfonos,"Samsung Teléfono inteligente, Azul",4108,5,0,1273
5470,MX-2023-161641,11/25/2023,11/28/2023,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MAT-CA-10002183,Material de oficina,Carpetas,"Acco Separadores, Reciclado",238.4,4,0,52
5471,MX-2023-161641,11/25/2023,11/28/2023,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MOB-SI-10000887,Mobiliario,Sillas,"Harbour Creations Sillón, Negro",15706,5,0,4868
5472,MX-2023-161641,11/25/2023,11/28/2023,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MAT-SU-10004452,Material de oficina,Suministros,"Kleencut Regla, Acero",86.4,1,0,29.2
5473,MX-2023-161641,11/25/2023,11/28/2023,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MOB-SI-10001568,Mobiliario,Sillas,"Office Star Estora, 2",2269,5,0,952
6517,MX-2020-130400,12/29/2020,1/1/2021,Urgente,CB-12445,Ciro Becerra,Cliente,Macapá,Amapá,Brasil,Sur,TEC-CO-10004906,Tecnología,Copiadoras,"Canon Tinta, Color",6920.3316,7,0.002,3105.3316
8728,MX-2021-117919,11/29/2021,12/3/2021,Estándar,UR-21355,Unai Rubalcaba,Empresa,Macapá,Amapá,Brasil,Sur,MOB-ME-10001735,Mobiliario,Mesas,"Hon Mesa de madera, Blanco",14227.2,5,0.2,1600.2
8729,MX-2021-117919,11/29/2021,12/3/2021,Estándar,UR-21355,Unai Rubalcaba,Empresa,Macapá,Amapá,Brasil,Sur,MAT-SU-10002302,Material de oficina,Suministros,"Stiletto Regla, Acero",285.6,3,0,88.2
9973,MX-2021-106243,6/23/2021,6/28/2021,Estándar,LL-17845,Lidia Laureano,Cliente,Macapá,Amapá,Brasil,Sur,MOB-ME-10002060,Mobiliario,Mesas,"Hon Mesa redonda, Montada",5518.72,2,0.2,689.52
629,MX-2023-129154,12/17/2023,12/21/2023,Rápido,MA-18685,María Acosta,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-SU-10002302,Material de oficina,Suministros,"Stiletto Regla, Acero",95.2,1,0,29.4
1063,US-2022-132276,2/20/2022,2/25/2022,Rápido,AY-11440,Asunción Ybarra,Cliente,Parintins,Amazonas,Brasil,Sur,MOB-MO-10001975,Mobiliario,Mobiliario,"Deflect-O Bombilla, Negro",202.56,4,0.6,-51.04
1626,MX-2020-118983,8/17/2020,8/18/2020,Urgente,AB-10180,Adela Blanco,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10004976,Mobiliario,Sillas,"Hon Taburete, Negro",5374,5,0,1450
1627,MX-2020-118983,8/17/2020,8/18/2020,Urgente,AB-10180,Adela Blanco,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10000771,Mobiliario,Sillas,"Hon Mecedora, Ajustable",2662.2,3,0,52.8
1836,US-2020-126011,9/29/2020,10/4/2020,Estándar,IS-16585,Izaskun Sosa,Empresa,Parintins,Amazonas,Brasil,Sur,MOB-SI-10001686,Mobiliario,Sillas,"Hon Mecedora, 2",1062.96,3,0.6,-1116.24
2617,MX-2022-147333,9/20/2022,9/23/2022,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AL-10004832,Material de oficina,Almacenamiento,"Tenex Casilleros, Tamaño completo",6806,5,0,1293
2618,MX-2022-147333,9/20/2022,9/23/2022,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-ET-10000458,Material de oficina,Etiquetas,"Novimex Etiquetas de envío, Duradero",454.8,6,0,99.6
2619,MX-2022-147333,9/20/2022,9/23/2022,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AR-10002052,Material de oficina,Arte,"Stanley Sacapuntas, Al por mayor",167,1,0,75
2620,MX-2022-147333,9/20/2022,9/23/2022,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-SO-10003619,Material de oficina,Sobres,"Jiffy Sobre de hebilla, Plateado",509.6,7,0,25.2
2977,MX-2020-107195,8/31/2020,9/7/2020,Estándar,SN-20875,Santiago Núñez,Cliente,Manaus,Amazonas,Brasil,Sur,TEC-TE-10004109,Tecnología,Teléfonos,"Samsung Teléfono de oficina, Tamaño completo",2217,5,0,687
3989,MX-2023-161431,11/14/2023,11/18/2023,Rápido,IR-16360,Irati Rodríguez,Cliente,Coari,Amazonas,Brasil,Sur,MAT-CA-10000941,Material de oficina,Carpetas,"Ibico Separadores, Duradero",208.2,3,0,18.6
3990,MX-2023-161431,11/14/2023,11/18/2023,Rápido,IR-16360,Irati Rodríguez,Cliente,Coari,Amazonas,Brasil,Sur,MAT-CA-10002699,Material de oficina,Carpetas,"Acco Cubierta de carpeta, Reciclado",729.6,8,0,65.6
4184,MX-2022-154144,11/1/2022,11/6/2022,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-PA-10003921,Material de oficina,Papel,"Xerox Papel de tipo pergamino, Reciclado",351.2,4,0,20.8
4185,MX-2022-154144,11/1/2022,11/6/2022,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-ET-10004182,Material de oficina,Etiquetas,"Hon Etiquetas redondas, Blanco",355.2,8,0,148.8
4186,MX-2022-154144,11/1/2022,11/6/2022,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-SI-10002059,Mobiliario,Sillas,"SAFCO Silla de playa, Rojo",659.2,2,0,131.6
4187,MX-2022-154144,11/1/2022,11/6/2022,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-MO-10001014,Mobiliario,Mobiliario,"Rubvermaid Bombilla, Premium",814.8,7,0,260.4
5605,MX-2022-166471,3/16/2022,3/20/2022,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-SU-10001629,Material de oficina,Suministros,"Kleencut Cizallas, Rectangular",2028.6,7,0,791
5606,MX-2022-166471,3/16/2022,3/20/2022,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10001965,Mobiliario,Sillas,"Office Star Mecedora, 2",3817.6,4,0,877.6
5607,MX-2022-166471,3/16/2022,3/20/2022,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,TEC-CO-10003473,Tecnología,Copiadoras,"Brother Fotocopiadora personal, Digital",1896.5992,2,0.002,832.1992
5608,MX-2022-166471,3/16/2022,3/20/2022,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-ET-10001751,Material de oficina,Etiquetas,"Novimex Etiquetas para documentos legales, Blanco",139.6,2,0,32
5684,MX-2021-120789,7/6/2021,7/12/2021,Estándar,AL-11215,Anya Leyva,Pequeña empresa,Manacapuru,Amazonas,Brasil,Sur,MAT-PA-10000227,Material de oficina,Papel,"Xerox Agenda, Premium",679,5,0,258
7001,MX-2020-152366,10/7/2020,10/11/2020,Estándar,AE-11320,Ares Espinosa,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-SI-10002369,Mobiliario,Sillas,"Novimex Silla de playa, Negro",2031.4,7,0,893.2
7650,MX-2022-115189,8/16/2022,8/20/2022,Estándar,GV-15430,Germán Vallejo,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-LI-10001117,Mobiliario,Librerías,"Dania Librería clásica, Negro",8242.2,3,0,3049.2
7696,MX-2023-160311,7/4/2023,7/8/2023,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AR-10002284,Material de oficina,Arte,"Boston Bolígrafos, Al por mayor",289.8,3,0,8.4
7697,MX-2023-160311,7/4/2023,7/8/2023,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,TEC-AC-10002787,Tecnología,Accesorios,"Logitech Tarjeta de memoria, Programable",4894.4,7,0,439.6
7698,MX-2023-160311,7/4/2023,7/8/2023,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,TEC-AC-10003462,Tecnología,Accesorios,"Memorex Router, Blanco",13014.4,8,0,5985.6
8620,MX-2021-149307,11/13/2021,11/18/2021,Estándar,UR-21400,Unai Reynoso,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-SO-10000158,Material de oficina,Sobres,"Kraft Sobre de hebilla, Reciclado",156,3,0,58.8
9184,MX-2020-147018,10/13/2020,10/17/2020,Rápido,OL-19570,Odiseo Liébanas,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-GR-10002614,Material de oficina,Grapas,"Advantus Grapadoras, Al por mayor",900.2,7,0,242.2
9273,MX-2020-115644,1/18/2020,1/23/2020,Estándar,WN-21790,Waldo Nazario,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-GR-10003868,Material de oficina,Grapas,"OIC Grapadoras, Paquete de 12",384,3,0,61.2
3261,US-2021-156146,9/13/2021,9/19/2021,Estándar,LA-17905,Leopoldo Archuleta,Empresa,Chimbote,Ancash,Perú,Sur,MAT-SO-10003921,Material de oficina,Sobres,"Ames Sobres de uso interno, 50",902.4,5,0.4,-105.6
4576,US-2023-123288,11/19/2023,11/23/2023,Estándar,LS-18100,Luján Salinas,Cliente,Chimbote,Ancash,Perú,Sur,TEC-TE-10001255,Tecnología,Teléfonos,"Nokia Teléfono de oficina, Tamaño completo",1594.08,6,0.4,-478.32
7577,US-2021-153241,6/24/2021,6/30/2021,Estándar,AP-11515,Aniceto Puertas,Cliente,Huaraz,Ancash,Perú,Sur,MAT-CA-10001444,Material de oficina,Carpetas,"Wilson Jones Separadores, Duradero",190.8,6,0.4,-57.6
50,MX-2023-100783,5/6/2023,5/10/2023,Estándar,MR-18205,Mafalda Rojo,Empresa,Medellín,Antioquia,Colombia,Sur,MAT-GR-10003651,Material de oficina,Grapas,"Accos Clips, Paquete de 12",449,5,0,85
69,MX-2022-164021,7/24/2022,7/30/2022,Estándar,AR-11140,Antonio Rocha,Cliente,Bello,Antioquia,Colombia,Sur,MOB-LI-10002871,Mobiliario,Librerías,"Sauder Librería clásica, Negro",8746.8,3,0,4110.6
